part,feature_area,rust_surface,c_surface,python_surface,decision,evidence,next_action
NMEA2000,management-malformed-response-pending-state,N2KManagement response validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain management malformed-response pending-state test
NMEA2000,management-distinct-requested-pgn-tracking,N2KManagement pending request tracking,no extra C API,no extra Python API,internal-only,standard-suite,maintain management distinct-request tracking test
NMEA2000,management-request-timeout-and-retry-scope,N2KManagement pending request timeout,no extra C API,no extra Python API,internal-only,standard-suite,maintain management timeout and retry-scope test
NMEA2000,management-heartbeat-sequence-and-invalid-interval,N2KManagement heartbeat sender,no extra C API,no extra Python API,internal-only,standard-suite,maintain heartbeat sequence and invalid interval test
NMEA2000,management-product-info-fixed-field-boundaries,N2KProductInfo encode and decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain product-info fixed-field boundary test
NMEA2000,management-product-info-fixed-field-padding,N2KProductInfo fixed text field decoder,no extra C API,no extra Python API,internal-only,standard-suite,maintain product-info hidden-garbage rejection test
NMEA2000,management-config-info-length-prefix-boundaries,N2KConfigInfo encode and decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain config-info length-prefix boundary test
NMEA2000,attitude-axis-availability-validation,NMEAInterface attitude handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain attitude unavailable-axis test
NMEA2000,battery-status-voltage-current-special-field-validation,NMEAInterface battery status handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain unsigned voltage and signed current special-field test
NMEA2000,cog-sog-reference-validation,NMEAInterface COG/SOG handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain COG/SOG reserved-reference and packed high-bit reference test
NMEA2000,cog-sog-numeric-special-value-validation,NMEAInterface COG/SOG handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain COG/SOG reserved-numeric test
NMEA2000,circular-angle-range-validation,NMEAInterface COG heading and wind handlers/builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain circular-angle range assertions
NMEA2000,engine-rapid-numeric-special-value-validation,NMEAInterface engine rapid handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain engine-rapid reserved-numeric test
NMEA2000,engine-rapid-tilt-trim-special-value-validation,NMEAInterface engine rapid tilt trim handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain engine-rapid tilt-trim special-value test
NMEA2000,engine-rapid-tilt-trim-range-validation,NMEAInterface engine rapid tilt trim handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain engine-rapid tilt-trim signed range test
NMEA2000,fluid-level-numeric-special-value-validation,NMEAInterface fluid level handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain fluid-level reserved-numeric test
NMEA2000,gnss-dops-mode-byte-validation,NMEAInterface GNSS DOP handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS DOP mode-byte test
NMEA2000,gnss-dop-special-field-validation,NMEAInterface GNSS DOP and GNSS position detail handlers,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS DOP special-field test
NMEA2000,gnss-position-detail-fix-method-validation,NMEAInterface GNSS position detail handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail reserved-fix-method test
NMEA2000,gnss-position-detail-defined-fix-method-coverage,NMEAInterface GNSS position detail fix method decode,no extra C API,no extra Python API,rust-only,standard-suite,maintain manual and simulated fix-method test
NMEA2000,gnss-position-detail-system-validation,NMEAInterface GNSS position-detail system validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS system validation test
NMEA2000,gnss-position-detail-defined-system-coverage,NMEAInterface GNSS position-detail system validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain defined GNSS system coverage assertions
NMEA2000,gnss-position-detail-reference-station-count-validation,NMEAInterface GNSS position-detail reference-station count validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS reference-station count validation test
NMEA2000,gnss-position-detail-reference-station-type-validation,NMEAInterface GNSS position-detail reference-station validation plus ReferenceStationType strict decoder,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS reference-station validation and public decoder consistency test
NMEA2000,gnss-position-detail-reference-station-age-validation,NMEAInterface GNSS position-detail reference-station age validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS reference-station age validation test
NMEA2000,gnss-position-detail-integrity-reserved-bit-validation,NMEAInterface GNSS position-detail integrity validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS integrity reserved-bit test
NMEA2000,gnss-position-detail-geoidal-special-value-validation,NMEAInterface GNSS position-detail geoidal field validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS geoidal special-value test
NMEA2000,gnss-position-detail-date-time-special-value-validation,NMEAInterface GNSS position-detail date-time validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail date-time special-value test
NMEA2000,gnss-position-detail-time-of-day-range-validation,NMEAInterface GNSS position-detail time-of-day validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail time-of-day range test
NMEA2000,gnss-position-detail-coordinate-range-validation,NMEAInterface GNSS position-detail coordinate validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail coordinate range test
NMEA2000,gnss-position-detail-satellite-count-validation,NMEAInterface GNSS position-detail satellite count validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail satellite-count test
NMEA2000,gnss-position-detail-signed-special-value-validation,NMEAInterface GNSS position detail handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain GNSS position detail signed special-value test
NMEA2000,gnss-position-delta-time-and-signed-special-value-validation,NMEAInterface position delta handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain position-delta time and signed special-value test
NMEA2000,gnss-position-rapid-coordinate-special-value-validation,NMEAInterface rapid position handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain rapid-position reserved-coordinate test
NMEA2000,gnss-position-rapid-coordinate-range-validation,NMEAInterface rapid position handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain rapid-position coordinate range test
NMEA2000,gnss-position-rapid-builder-coordinate-range-canonicalization,NMEAInterface rapid position builder,no extra C API,no extra Python API,internal-only,standard-suite,maintain rapid-position builder coordinate range assertions
NMEA2000,selected-builder-reserved-sid-and-source-canonicalization,NMEAInterface selected PGN builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected builder reserved-SID and pressure-source canonicalization test
NMEA2000,selected-builder-u8-scalar-special-field-canonicalization,NMEAInterface selected PGN builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain selected builder u8 scalar special-field canonicalization test
NMEA2000,humidity-unsigned-special-field-validation,NMEAInterface humidity handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain humidity unsigned special-field test
NMEA2000,magnetic-variation-age-special-value-validation,NMEAInterface magnetic variation handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain magnetic variation age special-value test
NMEA2000,navigation-signed-reserved-numeric-validation,NMEAInterface navigation handlers,no extra C API,no extra Python API,internal-only,standard-suite,maintain navigation signed reserved-value test
NMEA2000,navigation-auxiliary-classic-frame-canonicalization,NMEAInterface rate-of-turn magnetic-variation and rudder handlers,no extra C API,no extra Python API,internal-only,standard-suite,maintain navigation auxiliary classic-frame canonicalization test
NMEA2000,public-enum-strict-try-decoders,NMEA public enum try_from_u8 helpers,no extra C API,no extra Python API,rust-only,standard-suite,maintain public strict enum decoder test across all public NMEA repr_u8 enum categories
NMEA2000,outside-environmental-numeric-special-value-validation,NMEAInterface outside environmental handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain outside-environmental reserved-numeric test
NMEA2000,pressure-source-reserved-value-validation,NMEAInterface pressure handler and PressureSource validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain pressure source reserved-value test
NMEA2000,pressure-signed-reserved-numeric-validation,NMEAInterface pressure handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain signed numeric reserved-value test
NMEA2000,speed-water-numeric-special-value-validation,NMEAInterface speed water handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain speed-water reserved-numeric test
NMEA2000,system-time-numeric-special-value-validation,NMEAInterface system time handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain system-time reserved-date-time test
NMEA2000,system-time-time-of-day-range-validation,NMEAInterface system time handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain system-time time-of-day range test
NMEA2000,temperature-numeric-special-value-validation,NMEAInterface temperature handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain temperature reserved-numeric test
NMEA2000,vessel-heading-numeric-special-value-validation,NMEAInterface heading handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain vessel-heading reserved-numeric test
NMEA2000,vessel-heading-reference-validation,NMEAInterface heading handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain vessel-heading reserved-reference and packed high-bit reference test
NMEA2000,water-depth-measurement-offset-special-value-validation,NMEAInterface water depth handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain water-depth reserved-depth-offset test
NMEA2000,water-depth-range-special-value-validation,NMEAInterface water depth handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain water-depth reserved-range test
NMEA2000,wind-data-reference-byte-validation,NMEAInterface wind reference validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain wind reference byte test
NMEA2000,wind-data-numeric-special-value-validation,NMEAInterface wind handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain wind-data reserved-numeric test
NMEA2000,xte-mode-byte-reserved-bit-validation,NMEAInterface XTE handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain XTE mode-byte reserved-bit test
NMEA2000,xte-signed-reserved-numeric-validation,NMEAInterface XTE handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain signed numeric reserved-value test
NMEA2000,nmea0183-serial-gnss-field-canonicalization,SerialGNSS parser,no extra C API,no extra Python API,rust-only,standard-suite,maintain NMEA 0183 field canonicalization quality date variation mode unit GSA and GSV group tests
Bindings,public-language-facades,standard binding matrix plus C/Python session surfaces,machbus_session_* over MachbusSession*,machbus.Session,facade-exposed,standard-suite-and-bindings,maintain binding facade matrix coverage and the C ABI v3 (MACHBUS_C_ABI_VERSION=3) probe via make bind-c-check
Evidence,external-evidence-gap-map,fixture-backed conformance evidence map,no runtime C API,no runtime Python API,internal-only,standard-suite-and-hardware-evidence,maintain external evidence map and public-data requirement checks
Evidence,conformance-claims-and-release-gates,Makefile tests and docs,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain release-gate evidence tests
ISO11783-6,vt-render-coverage-ledger,src/isobus/vt/render,no runtime C API,no runtime Python API,rust-only,standard-suite,maintain vt render pipeline coverage ledger before exposing GTUI binding surface
ISO11783-6,vt-macro-runtime,src/isobus/vt/render/macros.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose macro decode and apply via bindings once the render surface is bound
ISO11783-10,tc-task-runtime,src/isobus/tc/task.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose task lifecycle log and session via bindings when the task product API stabilizes
ISO11783-10,tc-prescription-control,src/isobus/tc/control.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose prescription rate control via bindings with the task runtime
ISO11783-10,tc-section-control,src/isobus/tc/section_control.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose section control via bindings with the task runtime
ISO11783-10,tc-isoxml-import,src/isobus/tc/isoxml.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose TASKDATA import via bindings once the importer covers device and partfield records
ISO11783-14,sc-sequence-recording,src/isobus/sc/recording.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose sequence recorder via bindings when recording is a claimed peer role
ISO11783-12,diagnostic-fault-monitor,src/j1939/diag_monitor.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose active-fault monitor via bindings with the diagnostics workflow
ISO11783-1,role-conformance-profile,src/isobus/conformance.rs,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain the role to module ledger as an internal source of truth
ISO11783-13,fs-operation-matrix,src/isobus/fs/operations.rs,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain the FS operation classification as an internal guard helper
NMEA2000,nmea-pgn-catalog,src/nmea/catalog.rs,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain the PGN coverage ledger cross-checked against the decoder set
ISO11783-5,management-role-matrix,src/net/management.rs,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain the network management role ledger as an internal source of truth
ISO11783-2,adapter-capability-model,src/net/adapter.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose adapter readiness via bindings alongside the physical config validator
ISO11783-2,can-capture-harness,src/net/capture.rs,no runtime C API,no runtime Python API,rust-only,standard-suite,expose candump capture/replay/verify via bindings when hardware evidence collection is wired up
